Freshwater_Alask,Marine_Alask,Freshwater_Canadian,Marine_Canadian
108,368,129,420
131,355,148,371
105,469,179,407
86,506,152,381
99,402,166,377
87,423,124,389
94,440,156,419
117,489,131,345
79,432,140,302
99,403,144,345
114,428,149,393
123,372,108,330
123,372,135,355
109,420,170,386
112,394,152,301
104,407,153,397
111,422,152,301
126,423,136,438
105,434,122,306
119,474,148,383
114,396,90,385
100,470,145,337
84,399,123,364
102,429,145,376
101,469,115,354
85,444,134,383
109,397,117,355
106,442,126,345
82,431,118,379
118,381,120,369
105,388,153,403
121,403,150,354
85,451,154,390
83,453,155,349
53,427,109,325
95,411,117,344
76,442,128,400
95,426,144,403
87,402,163,370
70,397,145,355
84,511,133,375
91,469,128,383
74,451,123,349
101,474,144,373
80,398,140,388
